consult_id,customer_id,consult_date,channel,category,duration_min,status,is_recontact,agent_id
CON1431,C377,2025-02-01,채팅,장애신고,27.0,완료,N,AG11
CON1432,C235,2025-02-02,전화,해지문의,7.0,미해결,N,AG14
CON1433,C123,2025-02-02,전화,요금문의,6.0,완료,N,AG06
CON1434,C188,2025-02-02,전화,해지문의,6.0,재문의,N,AG04
CON1435,C104,2025-02-03,앱,부가서비스,1.0,완료,N,AG01
CON1436,C118,2025-02-03,채팅,요금문의,3.0,완료,N,AG01
CON1437,C277,2025-02-03,전화,기타,21.0,완료,N,AG18
CON1438,C408,2025-02-03,채팅,해지문의,5.0,재문의,N,AG04
CON1439,C306,2025-02-03,전화,장애신고,36.0,완료,N,AG04
CON1440,C213,2025-02-03,전화,요금문의,28.0,완료,N,AG05
CON1441,C499,2025-02-03,전화,해지문의,,미해결,Y,AG16
CON1442,C166,2025-02-03,전화,장애신고,34.0,완료,N,AG16
CON1443,C189,2025-02-04,이메일,기타,4.0,완료,N,AG15
CON1444,C438,2025-02-04,이메일,해지문의,,미해결,Y,AG20
CON1445,C475,2025-02-04,전화,요금문의,,완료,N,AG08
CON1446,C093,2025-02-04,전화,해지문의,,미해결,N,AG05
CON1447,C150,2025-02-05,채팅,요금문의,7.0,완료,Y,AG02
CON1448,C412,2025-02-05,앱,장애신고,28.0,완료,N,AG15
CON1449,C024,2025-02-05,채팅,해지문의,13.0,완료,N,AG07
CON1450,C212,2025-02-06,채팅,장애신고,24.0,완료,N,AG13
CON1451,C478,2025-02-06,채팅,명의변경,,완료,N,AG19
CON1452,C320,2025-02-06,전화,장애신고,25.0,완료,N,AG10
CON1453,C300,2025-02-07,채팅,부가서비스,25.0,완료,N,AG11
CON1454,C268,2025-02-07,전화,기타,30.0,완료,N,AG16
CON1455,C052,2025-02-07,전화,해지문의,,완료,N,AG13
CON1456,C459,2025-02-08,전화,장애신고,10.0,완료,Y,AG06
CON1457,C115,2025-02-08,전화,해지문의,34.0,완료,Y,AG15
CON1458,C388,2025-02-08,채팅,장애신고,16.0,완료,N,AG10
CON1459,C236,2025-02-08,이메일,부가서비스,29.0,완료,Y,AG05
CON1460,C194,2025-02-09,채팅,장애신고,9.0,완료,N,AG14
CON1461,C222,2025-02-09,채팅,요금문의,16.0,미해결,N,AG11
CON1462,C250,2025-02-10,채팅,부가서비스,6.0,재문의,N,AG14
CON1463,C284,2025-02-10,채팅,해지문의,3.0,미해결,N,AG06
CON1464,C296,2025-02-10,채팅,기타,,완료,N,AG02
CON1465,C210,2025-02-10,채팅,기타,26.0,재문의,Y,AG07
CON1466,C004,2025-02-10,이메일,요금문의,23.0,미해결,N,AG19
CON1467,C406,2025-02-11,전화,요금문의,18.0,완료,N,AG08
CON1468,C380,2025-02-11,앱,장애신고,31.0,완료,N,AG13
CON1469,C448,2025-02-12,이메일,장애신고,20.0,미해결,N,AG09
CON1470,C177,2025-02-12,채팅,해지문의,4.0,재문의,Y,AG12
CON1471,C060,2025-02-12,전화,해지문의,,미해결,N,AG13
CON1472,C227,2025-02-12,전화,장애신고,19.0,완료,N,AG05
CON1473,C073,2025-02-12,채팅,장애신고,2.0,재문의,Y,AG10
CON1474,C249,2025-02-13,채팅,장애신고,13.0,완료,N,AG17
CON1475,C464,2025-02-13,전화,해지문의,,미해결,N,AG14
CON1476,C423,2025-02-13,채팅,해지문의,2.0,완료,N,AG01
CON1477,C154,2025-02-13,전화,해지문의,17.0,완료,Y,AG20
CON1478,C017,2025-02-13,앱,기타,35.0,완료,N,AG03
CON1479,C245,2025-02-13,채팅,요금문의,33.0,미해결,N,AG08
CON1480,C426,2025-02-13,채팅,해지문의,32.0,재문의,Y,AG10
CON1481,C022,2025-02-13,앱,해지문의,,완료,N,AG07
CON1482,C404,2025-02-13,이메일,요금문의,22.0,완료,N,AG10
CON1483,C067,2025-02-14,이메일,명의변경,8.0,완료,N,AG09
CON1484,C035,2025-02-14,채팅,기타,24.0,완료,N,AG13
CON1485,C141,2025-02-15,채팅,장애신고,,미해결,N,AG04
CON1486,C466,2025-02-15,전화,기타,10.0,완료,Y,AG03
CON1487,C212,2025-02-15,전화,해지문의,11.0,완료,N,AG16
CON1488,C158,2025-02-16,이메일,부가서비스,24.0,완료,N,AG02
CON1489,C190,2025-02-16,채팅,명의변경,12.0,완료,Y,AG06
CON1490,C290,2025-02-16,채팅,기타,,완료,N,AG03
CON1491,C490,2025-02-16,이메일,해지문의,37.0,재문의,N,AG18
CON1492,C199,2025-02-16,앱,요금문의,17.0,미해결,N,AG10
CON1493,C288,2025-02-17,앱,장애신고,,재문의,Y,AG01
CON1494,C450,2025-02-17,전화,장애신고,,완료,N,AG03
CON1495,C052,2025-02-17,채팅,기타,27.0,미해결,Y,AG16
CON1496,C147,2025-02-18,채팅,장애신고,28.0,완료,N,AG06
CON1497,C134,2025-02-18,채팅,요금문의,13.0,완료,N,AG03
CON1498,C310,2025-02-18,이메일,장애신고,12.0,완료,N,AG15
CON1499,C387,2025-02-18,전화,요금문의,,완료,N,AG03
CON1500,C137,2025-02-18,전화,장애신고,2.0,완료,N,AG19
CON1501,C233,2025-02-19,전화,부가서비스,13.0,완료,N,AG14
CON1502,C485,2025-02-19,전화,기타,15.0,재문의,N,AG20
CON1503,C197,2025-02-19,앱,요금문의,,완료,N,AG20
CON1504,C131,2025-02-20,채팅,해지문의,,재문의,Y,AG06
CON1505,C092,2025-02-20,전화,기타,16.0,재문의,N,AG20
CON1506,C284,2025-02-20,앱,요금문의,37.0,완료,N,AG20
CON1507,C443,2025-02-20,전화,요금문의,36.0,미해결,N,AG03
CON1508,C096,2025-02-20,전화,장애신고,22.0,완료,N,AG04
CON1509,C117,2025-02-20,채팅,장애신고,36.0,완료,N,AG13
CON1510,C269,2025-02-21,전화,요금문의,5.0,완료,N,AG06
CON1511,C202,2025-02-21,전화,요금문의,12.0,완료,N,AG17
CON1512,C425,2025-02-21,앱,요금문의,1.0,재문의,N,AG19
CON1513,C204,2025-02-22,전화,부가서비스,,완료,N,AG06
CON1514,C172,2025-02-22,채팅,해지문의,11.0,완료,N,AG03
CON1515,C443,2025-02-22,앱,요금문의,,미해결,N,AG08
CON1516,C084,2025-02-22,전화,요금문의,17.0,완료,N,AG15
CON1517,C059,2025-02-22,전화,해지문의,14.0,완료,N,AG10
CON1518,C307,2025-02-23,채팅,장애신고,11.0,재문의,N,AG04
CON1519,C081,2025-02-23,이메일,명의변경,10.0,미해결,N,AG20
CON1520,C482,2025-02-23,채팅,해지문의,28.0,완료,N,AG10
CON1521,C004,2025-02-24,채팅,요금문의,32.0,완료,N,AG10
CON1522,C230,2025-02-25,앱,부가서비스,37.0,재문의,Y,AG09
CON1523,C024,2025-02-25,이메일,요금문의,29.0,완료,N,AG06
CON1524,C453,2025-02-25,전화,부가서비스,6.0,미해결,N,AG02
CON1525,C242,2025-02-25,앱,요금문의,,완료,N,AG12
CON1526,C069,2025-02-26,채팅,해지문의,14.0,완료,N,AG17
CON1527,C050,2025-02-26,채팅,해지문의,24.0,완료,N,AG14
CON1528,C230,2025-02-26,전화,기타,6.0,미해결,N,AG20
CON1529,C414,2025-02-26,채팅,해지문의,,완료,N,AG10
CON1530,C473,2025-02-26,이메일,요금문의,23.0,재문의,N,AG19
CON1531,C405,2025-02-27,전화,요금문의,,완료,N,AG17
CON1532,C361,2025-02-27,이메일,해지문의,,완료,N,AG17
CON1533,C099,2025-02-27,전화,기타,36.0,완료,N,AG11
CON1534,C446,2025-02-27,채팅,장애신고,,미해결,N,AG14
CON1535,C250,2025-02-27,이메일,명의변경,24.0,완료,N,AG11
CON1536,C013,2025-02-27,앱,요금문의,17.0,재문의,N,AG18
CON1537,C043,2025-02-28,앱,요금문의,3.0,완료,Y,AG02
CON1538,C182,2025-02-28,전화,장애신고,22.0,완료,N,AG02
CON1539,C271,2025-02-28,전화,해지문의,15.0,재문의,N,AG20
CON1540,C207,2025-02-28,채팅,부가서비스,30.0,완료,N,AG08
