consult_id,agent_id,is_recontact,csat
CON0922,AG10,N,3
CON1047,AG20,N,3
CON1178,AG15,N,3
CON1214,AG12,N,4
CON0017,AG10,N,4
CON0179,AG03,N,3
CON0258,AG10,N,3
CON0953,AG15,N,3
CON0994,AG06,N,4
CON0219,AG09,N,4
CON0256,AG03,N,4
CON0321,AG04,N,4
CON0372,AG12,Y,3
CON1271,AG20,N,4
CON1306,AG07,N,3
CON0457,AG04,N,4
CON0828,AG10,N,4
CON1099,AG12,N,3
CON0576,AG01,Y,4
CON1165,AG18,N,3
CON1079,AG10,N,4
CON1218,AG02,Y,4
CON0015,AG09,N,5
CON0206,AG08,Y,4
CON1090,AG18,N,4
CON0128,AG04,N,4
CON0297,AG17,N,5
CON0767,AG15,Y,2
CON0849,AG14,N,5
CON1222,AG15,N,5
CON0213,AG20,N,3
CON0509,AG10,N,4
CON1294,AG14,N,4
CON0675,AG08,N,4
CON0685,AG09,N,4
CON1217,AG05,N,4
CON0059,AG02,N,4
CON0813,AG06,N,4
CON0913,AG17,N,5
CON1092,AG09,N,4
CON0558,AG04,N,2
CON0655,AG13,N,3
CON0773,AG11,N,2
CON0804,AG17,N,4
CON0923,AG11,N,4
CON0974,AG05,N,5
CON1008,AG15,N,5
CON0304,AG03,N,5
CON0667,AG02,Y,3
CON0756,AG11,Y,2
CON1063,AG15,N,4
CON1290,AG17,N,5
CON0027,AG09,N,3
CON0040,AG17,N,4
CON0417,AG18,N,5
CON0825,AG20,N,2
CON1129,AG18,N,4
CON1185,AG12,N,3
CON1287,AG11,N,3
CON0802,AG14,N,3
CON0046,AG12,N,4
CON0865,AG07,N,4
CON0050,AG16,N,4
CON0323,AG10,N,4
CON1037,AG18,N,4
CON0441,AG11,N,4
CON0444,AG19,Y,4
CON1184,AG07,N,3
CON0048,AG04,Y,2
CON0072,AG16,Y,3
CON0083,AG19,Y,4
CON0105,AG08,N,3
CON0138,AG03,Y,2
CON0151,AG04,N,2
CON0152,AG03,N,2
CON0170,AG02,N,3
CON0196,AG17,N,2
CON0211,AG19,Y,3
CON0214,AG15,N,4
CON0215,AG04,N,2
CON0261,AG07,N,2
CON0270,AG09,Y,3
CON0326,AG16,Y,3
CON0330,AG03,N,4
CON0341,AG11,N,2
CON0349,AG07,N,3
CON0369,AG02,N,1
CON0385,AG01,Y,3
CON0405,AG04,N,4
CON0434,AG01,Y,1
CON0471,AG04,N,3
CON0482,AG12,Y,3
CON0488,AG10,N,4
CON0562,AG09,N,2
CON0707,AG04,N,3
CON0712,AG20,Y,3
CON0800,AG01,N,3
CON0816,AG07,N,3
CON0843,AG19,N,2
CON0869,AG06,Y,3
CON0934,AG15,N,1
CON0941,AG07,N,2
CON0944,AG16,Y,2
CON0956,AG01,Y,1
CON0965,AG20,N,2
CON0980,AG16,Y,3
CON1009,AG03,Y,4
CON1033,AG08,N,4
CON1089,AG15,N,2
CON1116,AG09,Y,3
CON1121,AG17,N,3
CON1134,AG13,N,3
CON1138,AG02,N,3
CON1158,AG02,N,1
CON1182,AG09,N,3
CON1186,AG18,N,3
CON1197,AG19,Y,2
CON1211,AG13,N,1
CON1248,AG13,Y,2
CON1255,AG05,N,3
CON1286,AG15,Y,5
CON1299,AG14,N,2
CON0524,AG10,N,2
CON1291,AG19,N,4
CON0469,AG07,N,4
CON0071,AG08,Y,3
CON0404,AG10,N,3
CON0473,AG17,N,2
CON0492,AG03,N,4
CON0621,AG13,N,4
CON0645,AG11,N,5
CON0674,AG01,Y,3
CON0939,AG06,N,3
CON0146,AG10,N,4
CON0167,AG18,N,4
CON0200,AG03,N,3
CON0366,AG12,N,2
CON0531,AG19,N,4
CON0699,AG15,N,3
CON0714,AG11,N,3
CON0817,AG18,N,2
CON0839,AG07,Y,2
CON0877,AG01,N,5
CON0927,AG05,N,3
CON1042,AG01,N,3
CON1083,AG18,N,2
CON1149,AG14,Y,4
CON1161,AG08,Y,3
CON0053,AG06,N,3
CON0260,AG02,N,3
CON0275,AG15,N,2
CON0281,AG17,Y,3
CON0373,AG11,N,3
CON0375,AG12,N,4
CON0464,AG18,N,3
CON0474,AG13,N,5
CON0495,AG11,N,4
CON0538,AG14,N,4
CON0614,AG02,Y,3
CON0940,AG06,N,2
CON0991,AG17,N,3
CON0996,AG03,N,4
CON1110,AG06,Y,4
CON1259,AG15,N,4
CON1288,AG09,N,2
CON1301,AG01,N,1
CON0073,AG09,N,4
CON0094,AG09,N,4
CON0121,AG15,N,3
CON0130,AG01,N,4
CON0223,AG07,Y,4
CON0320,AG15,N,3
CON0353,AG15,Y,5
CON0442,AG15,N,2
CON0472,AG03,Y,3
CON0656,AG09,N,3
CON0727,AG02,Y,4
CON0750,AG20,N,4
CON0861,AG02,Y,2
CON0902,AG08,N,2
CON0962,AG02,N,2
CON0979,AG05,N,5
CON1003,AG07,Y,2
CON1130,AG02,Y,3
CON1160,AG08,N,2
CON1204,AG16,N,2
CON1279,AG17,N,4
CON0065,AG15,N,3
CON0091,AG05,N,1
CON0097,AG13,N,5
CON0159,AG04,N,4
CON0302,AG01,Y,4
CON0328,AG12,N,3
CON0399,AG07,N,3
CON0570,AG12,Y,3
CON0683,AG14,Y,3
CON0684,AG13,N,2
CON0792,AG11,Y,2
CON0905,AG15,N,5
CON0982,AG17,Y,3
CON1014,AG07,Y,1
CON1045,AG12,Y,4
CON1094,AG14,N,4
CON1113,AG13,N,2
CON1137,AG15,N,3
CON1176,AG05,N,5
CON1237,AG20,Y,3
CON1317,AG19,N,5
CON0021,AG06,Y,3
CON0238,AG09,N,1
CON0316,AG15,N,4
CON0384,AG11,Y,2
CON0448,AG08,Y,5
CON0456,AG03,Y,3
CON0511,AG16,N,2
CON0534,AG14,N,4
CON0535,AG04,Y,3
CON0537,AG16,N,3
CON0600,AG06,Y,2
CON0722,AG13,N,4
CON0733,AG14,Y,3
CON0748,AG18,N,4
CON0772,AG07,N,3
CON0783,AG19,N,3
CON0808,AG13,N,1
CON0838,AG08,N,4
CON0842,AG15,N,3
CON0967,AG18,N,3
CON0999,AG09,Y,5
CON1025,AG16,Y,3
CON1080,AG16,Y,3
CON1177,AG19,N,2
CON1188,AG08,N,3
CON0014,AG20,Y,3
CON0018,AG11,N,3
CON0020,AG02,N,3
CON0253,AG12,N,3
CON0266,AG10,N,4
CON0315,AG19,N,2
CON0382,AG05,N,4
CON0435,AG19,Y,2
CON0461,AG19,N,3
CON0591,AG04,Y,2
CON0598,AG20,Y,3
CON0709,AG20,N,3
CON0730,AG17,Y,4
CON0826,AG06,N,5
CON0854,AG02,N,1
CON0872,AG05,N,1
CON0937,AG08,N,3
CON1011,AG09,N,5
CON1108,AG06,N,3
CON1115,AG03,Y,3
CON1119,AG14,N,4
CON1162,AG05,N,2
CON1168,AG12,N,5
CON1179,AG05,N,4
CON0007,AG02,N,3
CON0025,AG11,N,5
CON0058,AG15,Y,4
CON0165,AG19,N,2
CON0177,AG04,N,3
CON0232,AG05,N,5
CON0312,AG12,N,4
CON0338,AG06,N,3
CON0360,AG18,Y,2
CON0421,AG06,N,3
CON0436,AG08,Y,3
CON0447,AG10,N,4
CON0543,AG04,N,3
CON0564,AG11,N,5
CON0774,AG10,N,3
CON0781,AG08,N,4
CON0845,AG16,N,5
CON1122,AG18,N,2
CON1240,AG13,N,4
CON1241,AG13,N,2
CON1281,AG04,N,3
CON0106,AG18,Y,3
CON0125,AG03,N,5
CON0257,AG20,N,2
CON0363,AG09,N,3
CON0386,AG12,Y,3
CON0550,AG04,N,2
CON0557,AG06,N,3
CON0682,AG09,Y,3
CON0687,AG15,N,3
CON0711,AG15,N,4
CON0743,AG18,N,2
CON0766,AG13,N,4
CON0794,AG09,N,3
CON0963,AG13,N,4
CON1132,AG14,Y,3
CON1150,AG15,Y,4
CON1226,AG02,Y,3
CON0054,AG15,N,4
CON0174,AG17,N,4
CON0235,AG13,Y,3
CON0271,AG16,N,4
CON0409,AG01,Y,3
CON0452,AG05,Y,3
CON0506,AG09,N,4
CON0539,AG20,N,4
CON0637,AG15,N,4
CON0790,AG18,N,4
CON0841,AG19,N,1
CON0904,AG19,N,4
CON1001,AG20,N,3
CON1118,AG08,Y,4
CON1124,AG12,N,3
CON1170,AG08,N,4
CON1195,AG04,N,3
CON1199,AG16,Y,4
CON1251,AG03,N,2
CON0089,AG05,N,4
CON0282,AG16,N,4
CON0426,AG08,N,4
CON0690,AG07,N,3
CON0840,AG07,N,3
CON0862,AG15,N,4
CON1053,AG04,N,3
CON1280,AG01,N,3
CON0026,AG02,N,3
CON0099,AG10,N,3
CON0561,AG02,Y,4
CON0812,AG05,N,3
CON0989,AG07,Y,4
CON1098,AG16,N,3
CON1147,AG09,N,3
CON1174,AG13,N,5
CON1180,AG11,N,3
CON1254,AG13,Y,5
CON1263,AG03,N,3
CON1318,AG05,Y,2
CON0022,AG05,N,5
CON0101,AG17,N,4
CON0118,AG20,N,4
CON0141,AG13,N,4
CON0231,AG18,N,3
CON0274,AG11,N,4
CON0322,AG09,N,5
CON0424,AG12,N,4
CON0604,AG18,N,4
CON0618,AG11,N,5
CON0926,AG16,N,5
CON0063,AG16,Y,4
CON0334,AG15,N,3
CON0350,AG09,N,3
CON0377,AG11,N,5
CON0719,AG04,Y,4
CON1086,AG06,N,3
CON1189,AG17,Y,3
CON1249,AG19,N,4
CON0056,AG09,N,3
CON0361,AG13,N,3
CON0400,AG04,N,5
CON0607,AG13,Y,4
CON1019,AG05,N,3
CON1046,AG17,N,2
CON1234,AG02,N,5
CON1268,AG05,Y,2
CON0134,AG14,N,5
CON0160,AG20,N,4
CON0412,AG05,N,4
CON0664,AG14,N,5
CON0734,AG08,N,4
CON0746,AG02,Y,2
CON0801,AG16,N,4
CON0954,AG18,N,1
CON0964,AG13,N,3
CON0997,AG04,N,5
CON1200,AG06,N,4
CON1215,AG05,N,2
CON0012,AG01,N,4
CON0068,AG11,N,4
CON0139,AG03,N,3
CON0390,AG02,N,4
CON0496,AG15,N,5
CON0516,AG01,N,4
CON0644,AG12,N,4
CON0776,AG03,N,1
CON0868,AG01,N,2
CON0920,AG17,N,4
CON0936,AG01,N,5
CON0966,AG03,N,3
CON1007,AG18,N,3
CON1127,AG15,N,4
CON0057,AG18,N,5
CON0088,AG19,N,5
CON0093,AG03,N,2
CON0156,AG18,N,4
CON0166,AG03,Y,4
CON0178,AG15,N,4
CON0299,AG08,N,3
CON0510,AG09,N,4
CON0679,AG12,Y,3
CON0680,AG03,N,4
CON1300,AG08,N,5
CON1305,AG18,N,3
CON0095,AG09,N,3
CON0102,AG14,N,4
CON0132,AG02,Y,4
CON0477,AG06,N,3
CON0601,AG13,N,2
CON0626,AG05,Y,5
CON0814,AG01,N,4
CON0883,AG01,N,5
CON1030,AG04,N,4
CON1190,AG07,N,4
CON1258,AG10,N,4
CON1319,AG05,N,4
CON0587,AG11,N,3
CON0731,AG09,N,3
CON0870,AG13,N,3
CON0875,AG05,N,5
CON1035,AG16,Y,3
CON1036,AG08,N,4
CON1078,AG05,N,2
CON0067,AG02,N,3
CON0113,AG09,N,3
CON0183,AG05,N,3
CON0306,AG10,Y,4
CON0596,AG07,N,1
CON0742,AG05,N,3
CON0833,AG01,N,4
CON0210,AG16,N,4
CON0454,AG17,N,4
CON0546,AG09,N,4
CON0659,AG15,N,5
CON0753,AG20,N,4
CON0784,AG04,Y,4
CON1028,AG06,N,4
CON1140,AG20,N,4
CON0642,AG05,N,3
CON0810,AG10,N,4
CON1052,AG18,Y,4
CON1111,AG12,N,5
CON0242,AG01,N,2
CON0265,AG18,N,3
CON0108,AG06,N,5
CON0762,AG17,N,3
CON0915,AG17,N,3
CON1114,AG20,N,4
CON0033,AG01,Y,4
CON0628,AG04,N,3
CON1194,AG09,N,4
CON1084,AG04,N,5
CON1156,AG17,N,5
CON0500,AG08,N,4
CON0045,AG10,Y,4
CON0513,AG20,N,3
CON0521,AG16,N,3
CON0203,AG16,N,4
CON0069,AG03,N,2
CON0184,AG10,N,3
CON0187,AG12,Y,3
CON0230,AG11,N,4
CON0283,AG01,Y,4
CON0285,AG14,N,1
CON0305,AG10,N,3
CON0309,AG03,Y,2
CON0311,AG04,Y,2
CON0335,AG02,N,2
CON0392,AG16,Y,3
CON0396,AG05,N,3
CON0413,AG09,N,1
CON0490,AG11,Y,3
CON0494,AG20,N,3
CON0590,AG16,Y,1
CON0651,AG14,Y,2
CON0654,AG14,N,2
CON0666,AG06,N,3
CON0678,AG05,Y,3
CON0695,AG11,N,3
CON0752,AG18,N,3
CON0763,AG08,N,3
CON0777,AG09,Y,4
CON0785,AG11,N,3
CON0786,AG05,N,3
CON0803,AG06,N,1
CON0892,AG10,N,3
CON1018,AG04,N,1
CON1044,AG11,Y,4
CON1070,AG19,N,3
CON1077,AG14,N,3
CON1088,AG01,N,2
CON1159,AG07,N,4
CON1173,AG15,Y,3
CON1308,AG13,N,2
CON1060,AG17,Y,3
CON0633,AG03,N,2
CON0070,AG18,N,5
CON0806,AG05,Y,3
CON0508,AG15,N,3
CON0512,AG06,Y,4
CON0716,AG20,N,3
CON0789,AG18,N,2
CON1148,AG19,N,4
CON1183,AG12,N,5
CON0291,AG12,N,2
CON0540,AG04,Y,5
CON0588,AG03,N,3
CON0594,AG03,N,3
CON0605,AG12,N,4
CON0636,AG14,N,3
CON0724,AG13,N,3
CON0837,AG05,N,3
CON0881,AG20,N,3
CON0958,AG08,N,2
CON1072,AG06,N,3
CON1076,AG05,N,2
CON0079,AG06,N,5
CON0086,AG03,N,5
CON0340,AG03,N,1
CON0523,AG19,Y,4
CON0788,AG05,N,5
CON0932,AG06,N,4
CON1031,AG17,N,3
CON1058,AG02,N,2
CON1073,AG11,N,3
CON1126,AG09,N,4
CON1266,AG09,N,4
CON1304,AG02,N,4
CON0080,AG06,N,2
CON0126,AG03,Y,4
CON0195,AG16,N,2
CON0327,AG10,N,4
CON0329,AG18,Y,3
CON0362,AG13,N,3
CON0367,AG16,Y,3
CON0414,AG12,N,3
CON0706,AG04,N,2
CON0896,AG19,N,4
CON0901,AG19,N,3
CON0009,AG20,N,4
CON0042,AG04,Y,3
CON0111,AG09,Y,2
CON0168,AG14,N,4
CON0182,AG10,N,4
CON0202,AG11,N,3
CON0295,AG09,N,5
CON0336,AG20,N,4
CON0389,AG17,Y,4
CON0493,AG16,N,3
CON0544,AG01,N,4
CON0578,AG17,N,4
CON0672,AG12,N,2
CON0900,AG11,Y,2
CON1143,AG20,Y,2
CON1221,AG11,Y,3
CON1256,AG12,N,3
CON1313,AG09,N,5
CON0098,AG13,N,3
CON0103,AG09,N,2
CON0120,AG08,N,2
CON0303,AG04,N,4
CON0415,AG18,N,4
CON0418,AG01,Y,4
CON0551,AG13,N,4
CON0738,AG16,N,3
CON0805,AG15,N,4
CON0911,AG19,Y,2
CON0961,AG08,N,4
CON0992,AG10,N,4
CON1002,AG19,N,3
CON1164,AG09,N,3
CON1235,AG17,N,4
CON1265,AG03,N,5
CON1270,AG11,N,3
CON1283,AG09,N,3
CON0039,AG10,Y,4
CON0233,AG20,N,4
CON0332,AG13,N,3
CON0351,AG07,N,1
CON0527,AG04,N,3
CON0671,AG16,N,3
CON0787,AG05,N,3
CON0943,AG04,N,5
CON1247,AG03,N,4
CON0189,AG07,N,4
CON0380,AG13,N,5
CON0381,AG11,N,5
CON0478,AG12,N,4
CON0611,AG16,N,3
CON0737,AG15,N,4
CON0853,AG07,Y,5
CON0856,AG18,N,3
CON0859,AG08,N,4
CON1074,AG04,N,5
CON1169,AG19,N,3
CON0081,AG16,N,5
CON0359,AG18,N,3
CON0370,AG08,N,5
CON0476,AG08,N,3
CON0627,AG12,N,3
CON1082,AG05,N,3
CON1125,AG14,N,3
CON1157,AG11,N,4
CON1231,AG20,Y,4
CON1243,AG02,N,3
CON1293,AG16,N,3
CON0051,AG10,N,4
CON0157,AG13,N,4
CON0205,AG02,N,4
CON0234,AG12,N,5
CON0358,AG08,N,5
CON0893,AG01,N,4
CON1311,AG20,Y,4
CON0008,AG06,N,3
CON0115,AG15,N,2
CON0131,AG13,N,3
CON0199,AG16,N,4
CON0284,AG06,N,4
CON0555,AG10,Y,2
CON0568,AG13,N,3
CON0647,AG01,N,3
CON0689,AG17,N,3
CON0720,AG08,N,4
CON0723,AG06,N,5
CON0970,AG12,Y,4
CON1017,AG01,N,4
CON1201,AG05,N,2
CON1209,AG14,Y,2
CON0145,AG11,N,4
CON0262,AG01,N,3
CON0280,AG14,N,4
CON0728,AG16,Y,4
CON0739,AG03,N,4
CON0815,AG12,N,4
CON1057,AG05,N,4
CON1239,AG06,Y,4
CON0096,AG20,N,5
CON0259,AG08,N,5
CON0342,AG01,N,3
CON0348,AG11,N,2
CON0438,AG09,Y,3
CON0646,AG14,N,3
CON0673,AG19,N,5
CON0757,AG17,N,5
CON0836,AG15,N,3
CON0988,AG04,N,4
CON0491,AG03,N,5
CON1095,AG14,N,3
CON1238,AG06,Y,5
CON0055,AG18,N,3
CON0137,AG16,N,3
CON0209,AG11,N,4
CON0458,AG06,N,5
CON0460,AG19,N,4
CON0475,AG03,N,4
CON0597,AG02,N,3
CON0630,AG10,N,2
CON1056,AG15,N,4
CON1100,AG12,N,3
CON1208,AG15,N,4
CON1219,AG13,N,4
CON0002,AG02,N,2
CON0077,AG20,N,3
CON0173,AG09,N,4
CON0185,AG19,N,4
CON0406,AG14,N,5
CON0463,AG07,N,3
CON0698,AG16,N,4
CON0717,AG04,N,4
CON0760,AG17,N,5
CON0819,AG20,N,4
CON0993,AG20,N,4
CON0317,AG09,N,3
CON0394,AG15,N,3
CON1264,AG11,N,4
CON1267,AG14,N,4
CON0084,AG08,N,3
CON0136,AG12,N,4
CON0277,AG10,N,3
CON0378,AG06,N,5
CON0929,AG14,N,3
CON1141,AG05,Y,3
CON1253,AG07,N,4
CON0043,AG03,N,3
CON0149,AG20,Y,4
CON0669,AG17,N,5
CON0721,AG20,N,3
CON0968,AG02,Y,2
CON0973,AG16,N,4
CON1206,AG06,N,1
CON1252,AG10,Y,3
CON0078,AG08,Y,3
CON0298,AG19,N,4
CON0584,AG17,N,5
CON0619,AG10,N,3
CON0702,AG03,N,3
CON0942,AG04,N,4
CON0950,AG16,N,4
CON1023,AG08,N,4
CON1112,AG19,N,4
CON1172,AG05,N,4
CON0445,AG11,N,4
CON1068,AG10,N,5
CON0376,AG06,N,4
CON0119,AG06,N,3
CON0990,AG10,Y,5
CON0393,AG09,N,3
CON0226,AG17,N,4
CON0985,AG05,Y,1
CON1233,AG16,N,4
CON0433,AG03,N,2
CON0504,AG09,N,5
CON0791,AG09,N,4
CON0217,AG18,N,4
CON0831,AG19,N,4
CON0468,AG18,N,3
CON0030,AG13,Y,5
CON0041,AG08,N,1
CON0066,AG18,N,1
CON0127,AG01,N,3
CON0133,AG14,N,3
CON0143,AG07,Y,3
CON0181,AG15,N,4
CON0197,AG09,N,2
CON0204,AG02,N,2
CON0218,AG19,N,2
CON0227,AG18,Y,2
CON0228,AG12,N,3
CON0243,AG05,N,1
CON0263,AG16,N,5
CON0272,AG15,Y,4
CON0300,AG17,N,4
CON0339,AG02,Y,2
CON0347,AG10,Y,1
CON0497,AG02,N,2
CON0498,AG10,N,3
CON0505,AG11,N,2
CON0515,AG20,N,2
CON0518,AG20,Y,3
CON0520,AG20,N,2
CON0525,AG13,N,2
CON0609,AG02,N,1
CON0624,AG06,N,3
CON0643,AG05,Y,2
CON0691,AG10,Y,2
CON0693,AG08,Y,2
CON0747,AG01,Y,3
CON0751,AG12,N,2
CON0764,AG16,Y,3
CON0771,AG02,N,1
CON0796,AG03,N,3
CON0834,AG10,N,2
CON0847,AG01,Y,4
